dysfunc,negtone,negexp,perform,division,d1,d2,d3
-.23,-.51,-.49,.12,1,1,0,0
-.13,.22,-.49,.52,1,1,0,0
0,-.08,.84,-.08,1,1,0,0
-.33,-.11,.84,-.08,1,1,0,0
.39,-.48,.17,.12,1,1,0,0
1.02,.72,-.82,1.12,1,1,0,0
-.35,-.18,-.66,-.28,1,1,0,0
-.23,-.13,-.16,.32,2,0,1,0
.39,.52,-.16,-1.08,2,0,1,0
-.08,-.26,-.16,-.28,2,0,1,0
-.23,1.08,-.16,-1.08,2,0,1,0
.09,.53,.5,-.28,4,0,0,0
-.29,-.19,.84,-.28,4,0,0,0
-.06,.15,.5,-.88,3,0,0,1
.27,.73,-.16,-.08,3,0,0,1
.18,-.18,-.16,.32,3,0,0,1
.38,.22,-1.16,.52,3,0,0,1
.43,.52,.5,-.68,3,0,0,1
.03,.2,.6,-.23,1,1,0,0
-.5,-.68,.26,.17,1,1,0,0
.03,.31,-.4,.17,1,1,0,0
.41,.75,-1.06,-.23,1,1,0,0
-.08,-.48,-.06,-.23,1,1,0,0
.66,1.45,.6,-1.23,1,1,0,0
.28,-.45,-.4,.37,1,1,0,0
-.33,.55,.93,-.43,1,1,0,0
.53,1.95,.6,-1.03,1,1,0,0
-.08,.6,-.73,-.43,1,1,0,0
-.08,-.45,.6,.37,1,1,0,0
-.33,.05,-.4,.17,2,0,1,0
-.03,-.15,.26,.97,2,0,1,0
.06,-.12,-.4,-.03,2,0,1,0
-.33,-.75,-.06,-.03,2,0,1,0
-.03,-.19,-.4,-.63,4,0,0,0
.56,-.11,-.4,-.43,4,0,0,0
-.08,-.16,.1,-.83,4,0,0,0
.75,.32,.93,-.03,4,0,0,0
.46,.23,.26,.57,4,0,0,0
-.5,-.88,-.4,-.03,4,0,0,0
.18,-.23,.1,.17,4,0,0,0
.16,.08,-.06,-.03,4,0,0,0
-.5,-1.01,-.06,-.03,4,0,0,0
-.42,-.61,-.06,.37,4,0,0,0
-.21,-.35,-.4,-.03,4,0,0,0
-.08,-.41,.26,.17,3,0,0,1
-.27,.45,.26,-.43,3,0,0,1
-.15,.22,.6,-.03,3,0,0,1
-.18,-.15,-.06,.97,3,0,0,1
.26,-.05,-.73,-.43,3,0,0,1
-.13,-.02,.93,.37,3,0,0,1
.41,.05,-.06,-.43,3,0,0,1
.22,0,-.73,.97,3,0,0,1
-.46,.05,-.73,.17,3,0,0,1
-.33,.51,.6,-.03,3,0,0,1
-.42,-.35,-.06,-.43,3,0,0,1
.08,.28,-.4,.17,3,0,0,1
1.16,-.25,.93,.97,3,0,0,1
-.19,-.15,.26,.37,3,0,0,1
-.08,.05,-.4,-.03,3,0,0,1
.41,.16,-.73,.37,3,0,0,1
